"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",-1111,1334,"Fill-Not Mapped","Fill-Not Mapped",111,111,111,0.435294,0.435294,0.435294,297,0
"2",1,806300,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,179317,1.7
"3",2,1843626,"B","Succession Class B",56,168,0,0.219608,0.658824,0,410013,3.8
"4",3,9178773,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,2041310,18.8
"5",4,18900305,"D","Succession Class D",255,248,166,1,0.972549,0.65098,4203327,38.8
"6",5,8880629,"E","Succession Class E",0,74,77,0,0.290196,0.301961,1975004,18.2
"7",6,2272788,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,505456,4.7
"8",7,1757861,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,390939,3.6
"9",111,1462888,"Water","Water",0,0,255,0,0,1,325338,3
"10",120,2019086,"Developed","Developed",132,0,138,0.517647,0,0.541176,449034,4.1
"11",132,49143,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,10929,0.1
"12",180,1562867,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,347573,3.2
